name,state,vertical,summit,base,lifts,trails,longest_run,snowboarding,terrain_park,half_pipe,annual_snowfall,snowmaking,skiable_area,green,blue,black,double_black,xc,tubing
indianhead,michigan,638,1935,1297,9,22,5280,1,1,1,210,90,195,21,37,42,,0,1,
marquette-mountain,michigan,600,1800,1200,4,25,7400,1,1,1,210,95,151,15,50,35,,0,0,
missaukee-mountain,michigan,220,,,2,5,1320,1,0,0,90,,15,40,40,20,,10,1,
mont-ripley,michigan,420,,,2,16,,1,1,1,130,100,,25,50,25,,0,0,
mount-bohemia,michigan,900,,,2,28,,1,,,270,,,,7,39,54,0,0,
mt-brighton,michigan,250,1330,1100,17,26,1350,1,1,1,60,100,130,30,40,30,,0,0,
mt-holiday,michigan,200,,,7,16,,1,1,1,120,100,20,,,,,0,1,
mt-holly,michigan,350,,,13,18,2100,1,1,0,42,100,100,22,39,39,,0,0,
mt-mcsauba,michigan,140,147,7,3,5,1000,1,0,0,130,90,20,20,80,,,2,0,
mt-zion,michigan,300,1400,1100,2,9,3960,1,1,1,200,35,20,25,50,25,,3,1,
mulligans-hollow,michigan,130,700,570,2,10,1000,1,0,0,60,100,10,50,50,,,0,0,
norway-mountain,michigan,500,,,5,15,5280,1,1,1,100,100,,33,34,33,,5,0,
nubs-nob,michigan,427,1338,911,8,41,4620,1,1,1,130,100,246,31,48,21,,20,0,
pando,michigan,125,700,690,6,7,500,1,1,1,75,100,55,33,34,33,,10,1,
petoskey,michigan,200,,,1,1,600,1,0,0,160,,36,,100,,,0,0,
pine-knob,michigan,300,1300,1000,10,15,1320,1,1,0,,100,85,30,35,30,5,0,0,
pine-mountain,michigan,500,1650,1150,5,18,5280,1,1,1,60,100,340,30,40,30,,0,0,
porcupine-mountain,michigan,641,1368,727,4,15,6000,1,0,0,200,,100,21,50,29,,42,0,
shanty-creek,michigan,450,1125,675,11,46,5280,1,1,0,200,100,400,30,33,37,,30,1,
silver-ridge,michigan,225,,,4,9,2500,1,1,0,30,80,30,,,,,2,0,
ski-brule,michigan,500,1861,1361,11,17,5280,1,1,1,150,100,150,20,50,30,,23,1,
skyline,michigan,210,1515,1305,6,14,1800,1,1,0,62,,300,15,75,10,,10,0,
snow-snake,michigan,210,1230,1020,6,12,800,1,1,0,,100,40,30,50,20,,10,1,
swiss-valley,michigan,225,1200,975,7,11,1800,1,1,0,60,100,60,20,60,20,,0,0,
the-homestead,michigan,375,875,500,5,13,3960,1,0,0,150,100,16,25,55,20,,18,0,
timber-ridge,michigan,240,,,10,15,2000,1,1,1,60,100,50,20,70,10,,0,1,
treetops-sylvan,michigan,225,1345,1120,7,19,2200,1,0,1,175,100,80,30,50,20,,20,1,
afton-alps,minnesota,350,350,700,21,41,3000,1,1,1,55,100,250,20,60,20,,0,1,
andes-tower-hills,minnesota,275,,,4,15,1320,1,1,1,55,100,30,35,35,30,,20,1,
buck-hill,minnesota,309,1225,919,11,12,1250,1,1,1,60,100,45,34,34,16,16,12,1,
buena-vista,minnesota,230,1510,1280,6,16,2000,1,1,0,78,100,30,20,55,25,,25,0,
chester-bowl-park,minnesota,175,875,700,1,4,1000,1,0,0,100,100,6,40,60,,,3,0,
coffee-mill,minnesota,425,1150,725,3,10,5100,1,1,0,40,90,28,30,40,30,,0,0,
giants-ridge,minnesota,500,1970,1470,6,34,4000,1,1,1,85,100,200,31,44,25,,70,0,
gull-four-seasons,minnesota,230,,,3,13,,1,0,0,,,,,,,,0,0,
hole-in-the-mountain,minnesota,175,375,200,1,4,2000,1,0,0,24,50,100,50,,50,,7,0,
hyland,minnesota,175,1075,900,6,14,2000,1,1,1,55,100,35,40,40,20,,0,0,
lutsen-mountain,minnesota,1088,1688,600,9,85,10800,1,0,0,120,95,1000,18,51,22,9,22,0,
mount-frontenac,minnesota,420,920,500,6,17,4000,1,1,1,70,100,80,20,50,20,10,0,0,
mount-kato,minnesota,240,540,300,11,19,2100,1,1,0,50,100,55,24,59,17,,0,1,
powder-ridge,minnesota,310,790,500,6,15,1600,1,1,1,45,100,60,40,40,20,,0,1,
spirit-mountain,minnesota,700,1320,620,8,24,5400,1,1,1,92,100,175,32,32,36,,22,1,
steeplechase,minnesota,240,,,5,19,,1,1,1,,,,42,37,21,,0,1,
welch-village,minnesota,325,1050,725,9,37,1300,1,1,1,50,100,125,31,50,19,,30,0,
wild-mountain,minnesota,300,1113,813,6,23,5000,1,1,1,50,100,100,33,34,33,,0,0,
